participant_id,musical_background,group,years_experience,dissonance_Cmaj6,distraction_Cmaj6,dissonance_Cmaj7_b9,distraction_Cmaj7_b9,dissonance_min2nd_cluster,distraction_min2nd_cluster,dissonance_Cmaj,distraction_Cmaj,dissonance_stacked_tritones,distraction_stacked_tritones,dissonance_C7_sharp_9,distraction_C7_sharp_9,mental_reaction,internal_response,effective_alarm_rating,qualitative_experience
U01,"Yes, specifically in Jazz theory/performance.",musician,4,2,1,3,2,5,4,1,1,3,2,2,2,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",5,단순코드는 별 생각 없는데 복잡한 코드는 코드 성질 분석을 했습니다
U01-1,"Yes, specifically in Jazz theory/performance.",musician,4,2,1,3,2,5,4,1,1,3,2,2,2,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",5,단순코드는 별 생각 없는데 복잡한 코드는 코드 성질 분석을 했습니다
U06,"Yes, specifically in Jazz theory/performance.",musician,5,5,3,6,4,6,4,2,2,5,4,6,4,"I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.",I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,5,No idea
U06-1,"Yes, specifically in Jazz theory/performance.",musician,5,5,3,6,4,6,4,2,2,5,4,6,4,"I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.",I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,5,No idea
U07,No formal musical training (Non-musician).,non_musician,0,2,3,3,3,5,4,1,2,5,4,3,2,It didn't affect my thinking at all. / 내 사고 과정에 아무런 영향을 주지 않았다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,음알못이라 크게 느껴지진 않았다. 
U07-1,No formal musical training (Non-musician).,non_musician,0,2,3,3,3,5,4,1,2,5,4,3,2,It didn't affect my thinking at all. / 내 사고 과정에 아무런 영향을 주지 않았다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,음알못이라 크게 느껴지진 않았다. 
U08,"Yes, specifically in Jazz theory/performance.",musician,5,1,1,4,4,6,3,3,2,3,3,3,2,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",4,"단순한 코드는 그냥 듣고 넘김, 복잡한 코드는 어떤 음으로 구성되어 있고 그 중 어떤 음이 거슬리는지를 파악하려고 함"
U08-1,"Yes, specifically in Jazz theory/performance.",musician,5,1,1,4,4,6,3,3,2,3,3,3,2,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",4,"단순한 코드는 그냥 듣고 넘김, 복잡한 코드는 어떤 음으로 구성되어 있고 그 중 어떤 음이 거슬리는지를 파악하려고 함"
U09,No formal musical training (Non-musician).,non_musician,0,1,1,5,4,6,4,2,3,3,3,5,3,It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,"부드러운 코드는 자연스럽게 흘러가는 느낌, 긴장감 있는 코드는 내 본능이 이 음에 집중하라고 신호를 주는느낌이었다. "
U09-1,No formal musical training (Non-musician).,non_musician,0,1,1,5,4,6,4,2,3,3,3,5,3,It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,"부드러운 코드는 자연스럽게 흘러가는 느낌, 긴장감 있는 코드는 내 본능이 이 음에 집중하라고 신호를 주는느낌이었다. "
U10,"Yes, in Classical or other non-jazz genres.",non_musician,8,3,2,6,4,7,5,1,1,5,5,6,5,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,5,부드러운 코드를 들었을 때는 분석보다는 직관적으로 감상을 하는 것과 반대로 긴장감 있는 코드는 그 의도가 뭔지 생각하는 과정을 겪었다.
U10-1,"Yes, in Classical or other non-jazz genres.",non_musician,8,3,2,6,4,7,5,1,1,5,5,6,5,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,5,부드러운 코드를 들었을 때는 분석보다는 직관적으로 감상을 하는 것과 반대로 긴장감 있는 코드는 그 의도가 뭔지 생각하는 과정을 겪었다.
U11,No formal musical training (Non-musician).,non_musician,0,2,3,6,4,7,5,3,2,5,4,5,4,It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.,I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,4,
U11-1,No formal musical training (Non-musician).,non_musician,0,2,3,6,4,7,5,3,2,5,4,5,4,It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.,I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,4,
U12,No formal musical training (Non-musician).,non_musician,0,6,5,6,4,4,3,2,2,1,1,3,2,I just wanted the sound to stop / ignored it. / 그저 소리가 멈추기를 바랐거나 무시했다.,I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,1,거부하냐 안 하냐 차이
U12-1,No formal musical training (Non-musician).,non_musician,0,6,5,6,4,4,3,2,2,1,1,3,2,I just wanted the sound to stop / ignored it. / 그저 소리가 멈추기를 바랐거나 무시했다.,I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,1,거부하냐 안 하냐 차이
U13,"Yes, in Classical or other non-jazz genres.",non_musician,2,5,5,5,5,6,5,2,5,5,5,3,5,"I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.","I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다., I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",5,단순한 코드는 편안하고 즐거운 기분이 들었고 복잡한 코드는 듣는 순간 긴장되고 기분이 나빴다.
U13-1,"Yes, in Classical or other non-jazz genres.",non_musician,2,5,5,5,5,6,5,2,5,5,5,3,5,"I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.","I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다., I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",5,단순한 코드는 편안하고 즐거운 기분이 들었고 복잡한 코드는 듣는 순간 긴장되고 기분이 나빴다.
U14,No formal musical training (Non-musician).,non_musician,2,3,3,2,4,4,2,1,4,3,2,2,3,"I just wanted the sound to stop / ignored it. / 그저 소리가 멈추기를 바랐거나 무시했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.",I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,단순한 코드는 아무 생각 없이 들을수 있는 반면 복잡한 코드는 좋을수 있기는 하나 내 머릿속도 복잡해지는 기분이다
U14-1,No formal musical training (Non-musician).,non_musician,2,3,3,2,4,4,2,1,4,3,2,2,3,"I just wanted the sound to stop / ignored it. / 그저 소리가 멈추기를 바랐거나 무시했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.",I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,단순한 코드는 아무 생각 없이 들을수 있는 반면 복잡한 코드는 좋을수 있기는 하나 내 머릿속도 복잡해지는 기분이다
U15,No formal musical training (Non-musician).,non_musician,2,3,3,5,4,6,5,2,2,5,4,4,3,"I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.",I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,4,더 복잡한 코드를 들었을 때 보다 더 소리를 의식적으로 생각하며 듣게 됨
U15-1,No formal musical training (Non-musician).,non_musician,2,3,3,5,4,6,5,2,2,5,4,4,3,"I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.",I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,4,더 복잡한 코드를 들었을 때 보다 더 소리를 의식적으로 생각하며 듣게 됨
U20,"Yes, specifically in Jazz theory/performance.",musician,4,3,4,5,4,6,5,2,3,3,3,6,4,It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",2,구성음자체보다도 전반적으로 음이 높아서 크게 정보처리에 있어서 두드러지는 차이가 느껴지지는 않았다
U20-1,"Yes, specifically in Jazz theory/performance.",musician,4,3,4,5,4,6,5,2,3,3,3,6,4,It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",2,구성음자체보다도 전반적으로 음이 높아서 크게 정보처리에 있어서 두드러지는 차이가 느껴지지는 않았다
U21,"Yes, specifically in Jazz theory/performance.",musician,2,6,4,4,4,2,5,7,2,5,4,2,2,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,3,
U21-1,"Yes, specifically in Jazz theory/performance.",musician,2,6,4,4,4,2,5,7,2,5,4,2,2,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,3,
U22,"Yes, specifically in Jazz theory/performance.",musician,15,3,4,4,5,4,5,3,4,6,5,4,5,It didn't affect my thinking at all. / 내 사고 과정에 아무런 영향을 주지 않았다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,5,
U22-1,"Yes, specifically in Jazz theory/performance.",musician,15,3,4,4,5,4,5,3,4,6,5,4,5,It didn't affect my thinking at all. / 내 사고 과정에 아무런 영향을 주지 않았다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,5,
U23,"Yes, specifically in Jazz theory/performance.",musician,10,1,1,3,2,6,4,1,1,5,3,3,3,"I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.","I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다., I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",4,
U23-1,"Yes, specifically in Jazz theory/performance.",musician,10,1,1,3,2,6,4,1,1,5,3,3,3,"I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.","I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다., I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",4,
U24,"Yes, specifically in Jazz theory/performance.",musician,3,1,2,2,2,3,3,2,2,3,3,4,3,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",2,"단순한 코드를 들었을 때보다 복잡한 코드를 들었을 때, 조금 더 분석적으로 소리를 들으려고 했던 것 같습니다. "
U24-1,"Yes, specifically in Jazz theory/performance.",musician,3,1,2,2,2,3,3,2,2,3,3,4,3,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",2,"단순한 코드를 들었을 때보다 복잡한 코드를 들었을 때, 조금 더 분석적으로 소리를 들으려고 했던 것 같습니다. "
U26,"Yes, specifically in Jazz theory/performance.",musician,9,1,1,2,1,3,2,1,1,3,2,2,1,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",2, 단순한 코드의 경우 언제 들어봤는지 떠올리려고 했고 생소하고 복잡한 코드를 들었을 때는 과거의 기억에서 그 코드를 들었던 경험을 찾아봄과 동시에 화성학적인 요소를 동원해 분석해보려고 함.
U26-1,"Yes, specifically in Jazz theory/performance.",musician,9,1,1,2,1,3,2,1,1,3,2,2,1,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",2, 단순한 코드의 경우 언제 들어봤는지 떠올리려고 했고 생소하고 복잡한 코드를 들었을 때는 과거의 기억에서 그 코드를 들었던 경험을 찾아봄과 동시에 화성학적인 요소를 동원해 분석해보려고 함.
U27,"Yes, specifically in Jazz theory/performance.",musician,5,1,1,4,1,7,1,7,1,3,1,5,1,It didn't affect my thinking at all. / 내 사고 과정에 아무런 영향을 주지 않았다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,말이 되면 둘 다 좋아요
U27-1,"Yes, specifically in Jazz theory/performance.",musician,5,1,1,4,1,7,1,7,1,3,1,5,1,It didn't affect my thinking at all. / 내 사고 과정에 아무런 영향을 주지 않았다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,말이 되면 둘 다 좋아요
